sua_indicators,sua_id,indicators,indic_id,indicators_harmonized
1.a.1 Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,1_a_1,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,SUAsup_1_a_1_11,total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
1.b.1 Pro-poor public social spending,1_b_1,Pro-poor public social spending,SUAsup_1_b_1_12,pro-poor public social spending
2.1.1 Prevalence of undernourishment,2_1_1,Prevalence of undernourishment,SUAsup_2_1_1_13,prevalence of undernourishment
"2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",2_1_2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",SUAsup_2_1_2_14,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale"
2.2.1 Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,2_2_1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,SUAsup_2_2_1_15,prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age
"2.2.2 Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",2_2_2,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",SUAsup_2_2_2_16,"prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)"
"2.2.3 Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",2_2_3,"Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SUAsup_2_2_3_17,"prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)"
2.3.1 Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,2_3_1,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,SUAsup_2_3_1_18,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size
"2.3.2 Average income of small-scale food producers, by sex and indigenous status",2_3_2,"Average income of small-scale food producers, by sex and indigenous status",SUAsup_2_3_2_19,"average income of small-scale food producers, by sex and indigenous status"
2.4.1 Proportion of agricultural area under productive and sustainable agriculture,2_4_1,Proportion of agricultural area under productive and sustainable agriculture,SUAsup_2_4_1_20,proportion of agricultural area under productive and sustainable agriculture
2.5.1 Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2_5_1,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,SUAsup_2_5_1_21,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
2.5.2 Proportion of local breeds classified as being at risk of extinction,2_5_2,Proportion of local breeds classified as being at risk of extinction,SUAsup_2_5_2_22,proportion of local breeds classified as being at risk of extinction
2.a.1 The agriculture orientation index for government expenditures,2_a_1,The agriculture orientation index for government expenditures,SUAsup_2_a_1_23,agriculture orientation index for government expenditures
2.a.2 Total official flows (official development assistance plus other official flows) to the agriculture sector,2_a_2,Total official flows (official development assistance plus other official flows) to the agriculture sector,SUAsup_2_a_2_24,total official flows (official development assistance plus other official flows) to the agriculture sector
2.b.1 Agricultural export subsidies,2_b_1,Agricultural export subsidies,SUAsup_2_b_1_25,agricultural export subsidies
2.c.1 Indicator of food price anomalies,2_c_1,Indicator of food price anomalies,SUAsup_2_c_1_26,indicator of food price anomalies
"5.a.1 (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",5_a_1_a,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",SUAsup_5_a_1_a_27,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex"
"5.a.1 (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",5_a_1_b,"share of women among owners or rights-bearers of agricultural land, by type of tenure",SUAsup_5_a_1_b_28,"share of women among owners or rights-bearers of agricultural land, by type of tenure"
5.a.2 Proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,5_a_2,Proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,SUAsup_5_a_2_29,proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control
5.c.1 Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,5_c_1,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,SUAsup_5_c_1_30,proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
6.1.1 Proportion of population using safely managed drinking water services,6_1_1,Proportion of population using safely managed drinking water services,SUAsup_6_1_1_31,proportion of population using safely managed drinking water services
6.3.2 Proportion of bodies of water with good ambient water quality,6_3_2,Proportion of bodies of water with good ambient water quality,SUAsup_6_3_2_32,proportion of bodies of water with good ambient water quality
6.4.1 Change in water-use efficiency over time,6_4_1,Change in water-use efficiency over time,SUAsup_6_4_1_33,change in water-use efficiency over time
6.4.2 Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,6_4_2,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,SUAsup_6_4_2_34,level of water stress (freshwater withdrawal as a proportion of available freshwater resources)
6.5.1 Degree of integrated water resources management,6_5_1,Degree of integrated water resources management,SUAsup_6_5_1_35,degree of integrated water resources management
6.5.2 Proportion of transboundary basin area with an operational arrangement for water cooperation,6_5_2,Proportion of transboundary basin area with an operational arrangement for water cooperation,SUAsup_6_5_2_36,proportion of transboundary basin area with an operational arrangement for water cooperation
6.6.1 Change in the extent of water-related ecosystems over time,6_6_1,Change in the extent of water-related ecosystems over time,SUAsup_6_6_1_37,change in the extent of water-related ecosystems over time
6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,6_a_1,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SUAsup_6_a_1_38,amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan
6.b.1 Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,6_b_1,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,SUAsup_6_b_1_39,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
7.1.2 Proportion of population with primary reliance on clean fuels and technology,7_1_2,Proportion of population with primary reliance on clean fuels and technology,SUAsup_7_1_2_40,proportion of population with primary reliance on clean fuels and technology
7.2.1 Renewable energy share in the total final energy consumption,7_2_1,Renewable energy share in the total final energy consumption,SUAsup_7_2_1_41,renewable energy share in the total final energy consumption
7.3.1 Energy intensity measured in terms of primary energy and GDP,7_3_1,Energy intensity measured in terms of primary energy and GDP,SUAsup_7_3_1_42,energy intensity measured in terms of primary energy and gross domestic product
"7.a.1 International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",7_a_1,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SUAsup_7_a_1_43,"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems"
7.b.1 Installed renewable energy-generating capacity in developing countries (in watts per capita),7_b_1,Installed renewable energy-generating capacity in developing countries (in watts per capita),SUAsup_7_b_1_44,installed renewable energy-generating capacity in developing countries (in watts per capita)
8.1.1 Annual growth rate of real GDP per capita,8_1_1,Annual growth rate of real GDP per capita,SUAsup_8_1_1_45,annual growth rate of real gross domestic product
8.2.1 Annual growth rate of real GDP per employed person,8_2_1,Annual growth rate of real GDP per employed person,SUAsup_8_2_1_46,annual growth rate of real gross domestic product per employed person
"8.3.1 Proportion of informal employment in total employment, by sector and sex",8_3_1,"Proportion of informal employment in total employment, by sector and sex",SUAsup_8_3_1_47,"proportion of informal employment in total employment, by sector and sex"
"8.4.1 Material footprint, material footprint per capita, and material footprint per GDP",8_4_1,"Material footprint, material footprint per capita, and material footprint per GDP",SUAsup_8_4_1_48,"material footprint, material footprint per capita, and material footprint per gross domestic product"
"8.4.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",8_4_2,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",SUAsup_8_4_2_49,"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product"
"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities",8_5_1,"Average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SUAsup_8_5_1_50,"average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"8.5.2 Unemployment rate, by sex, age and persons with disabilities",8_5_2,"Unemployment rate, by sex, age and persons with disabilities",SUAsup_8_5_2_51,"unemployment rate, by sex, age and persons with disabilities"
"8.6.1 Proportion of youth (aged 15–24 years) not in education, employment or training",8_6_1,"Proportion of youth (aged 15–24 years) not in education, employment or training",SUAsup_8_6_1_52,"proportion of youth (aged 15-24 years) not in education, employment or training"
"8.7.1 Proportion and number of children aged 5–17 years engaged in child labour, by sex and age",8_7_1,"Proportion and number of children aged 5–17 years engaged in child labour, by sex and age",SUAsup_8_7_1_53,"proportion and number of children aged 5-17 years engaged in child labour, by sex and age"
"8.8.1 Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",8_8_1,"Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SUAsup_8_8_1_54,"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
"8.8.2 Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status",8_8_2,"Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status",SUAsup_8_8_2_55,"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status"
8.9.1 Tourism direct GDP as a proportion of total GDP and in growth rate,8_9_1,Tourism direct GDP as a proportion of total GDP and in growth rate,SUAsup_8_9_1_56,tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate
8.10.2 Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,8_10_2,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,SUAsup_8_10_2_57,proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
8.a.1 Aid for Trade commitments and disbursements,8_a_1,Aid for Trade commitments and disbursements,SUAsup_8_a_1_58,aid for trade commitments and disbursements
"8.b.1 Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",8_b_1,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",SUAsup_8_b_1_59,"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
9.1.1 Proportion of the rural population who live within 2 km of an all-season road,9_1_1,Proportion of the rural population who live within 2 km of an all-season road,SUAsup_9_1_1_60,proportion of the rural population who live within 2 km of an all-season road
"9.1.2 Passenger and freight volumes, by mode of transport",9_1_2,"Passenger and freight volumes, by mode of transport",SUAsup_9_1_2_61,"passenger and freight volumes, by mode of transport"
9.2.1 Manufacturing value added as a proportion of GDP and per capita,9_2_1,Manufacturing value added as a proportion of GDP and per capita,SUAsup_9_2_1_62,manufacturing value added as a proportion of gross domestic product and per capita
9.2.2 Manufacturing employment as a proportion of total employment,9_2_2,Manufacturing employment as a proportion of total employment,SUAsup_9_2_2_63,manufacturing employment as a proportion of total employment
9.3.1 Proportion of small-scale industries in total industry value added,9_3_1,Proportion of small-scale industries in total industry value added,SUAsup_9_3_1_64,proportion of small-scale industries in total industry value added
9.3.2 Proportion of small-scale industries with a loan or line of credit,9_3_2,Proportion of small-scale industries with a loan or line of credit,SUAsup_9_3_2_65,proportion of small-scale industries with a loan or line of credit
9.4.1 CO2 emission per unit of value added,9_4_1,CO2 emission per unit of value added,SUAsup_9_4_1_66,co2 emission per unit of value added
9.5.1 Research and development expenditure as a proportion of GDP,9_5_1,Research and development expenditure as a proportion of GDP,SUAsup_9_5_1_67,research and development expenditure as a proportion of gross domestic product
9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,9_a_1,Total official international support (official development assistance plus other official flows) to infrastructure,SUAsup_9_a_1_68,total official international support (official development assistance plus other official flows) to infrastructure
9.b.1 Proportion of medium and high-tech industry value added in total value added,9_b_1,Proportion of medium and high-tech industry value added in total value added,SUAsup_9_b_1_69,proportion of medium and high-tech industry value added in total value added
"9.c.1 Proportion of population covered by a mobile network, by technology",9_c_1,"Proportion of population covered by a mobile network, by technology",SUAsup_9_c_1_70,"proportion of population covered by a mobile network, by technology"
10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,10_1_1,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,SUAsup_10_1_1_71,growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population
"10.2.1 Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",10_2_1,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",SUAsup_10_2_1_72,"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
10.3.1 Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,10_3_1,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,SUAsup_10_3_1_73,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
10.4.1 Labour share of GDP,10_4_1,Labour share of GDP,SUAsup_10_4_1_74,labour share of gross domestic product
10.6.1 Proportion of members and voting rights of developing countries in international organizations,10_6_1,Proportion of members and voting rights of developing countries in international organizations,SUAsup_10_6_1_75,proportion of members and voting rights of developing countries in international organizations
"10.7.2 Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",10_7_2,"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",SUAsup_10_7_2_76,"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
10.7.3 Number of people who died or disappeared in the process of migration towards an international destinationi,10_7_3,Number of people who died or disappeared in the process of migration towards an international destinationi,SUAsup_10_7_3_77,number of people who died or disappeared in the process of migration towards an international destinationi
"10.7.4 Proportion of the population who are refugees, by country of origin",10_7_4,"Proportion of the population who are refugees, by country of origin",SUAsup_10_7_4_78,"proportion of the population who are refugees, by country of origin"
"10.b.1 Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",10_b_1,"Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SUAsup_10_b_1_79,"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
11.3.1 Ratio of land consumption rate to population growth rate,11_3_1,Ratio of land consumption rate to population growth rate,SUAsup_11_3_1_80,ratio of land consumption rate to population growth rate
"11.4.1 Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",11_4_1,"Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SUAsup_11_4_1_81,"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)"
"11.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",11_5_1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",SUAsup_11_5_1_82,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"11.5.2 Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",11_5_2,"Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",SUAsup_11_5_2_83,"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters"
11.6.2 Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),11_6_2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),SUAsup_11_6_2_84,annual mean levels of fine particulate matter in cities
"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",11_7_2,"Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",SUAsup_11_7_2_85,"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,11_a_1_a,Number of countries that have national urban policies or regional development plans that respond to population dynamics,SUAsup_11_a_1_a_86,number of countries that have national urban policies or regional development plans that respond to population dynamics
11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,11_a_1_b,Number of countries that have national urban policies or regional development plans that ensure balanced territorial development,SUAsup_11_a_1_b_87,number of countries that have national urban policies or regional development plans that ensure balanced territorial development
11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,11_a_1_c,Number of countries that have national urban policies or regional development plans that increase local fiscal space,SUAsup_11_a_1_c_88,number of countries that have national urban policies or regional development plans that increase local fiscal space
11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,11_b_1,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,SUAsup_11_b_1_89,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030
11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,11_b_2,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,SUAsup_11_b_2_90,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"12.1.1 Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",12_1_1,"Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",SUAsup_12_1_1_91,"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production"
"12.2.1 Material footprint, material footprint per capita, and material footprint per GDP",12_2_1,"Material footprint, material footprint per capita, and material footprint per GDP",SUAsup_12_2_1_92,"material footprint, material footprint per capita, and material footprint per gross domestic product"
"12.2.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",12_2_2,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",SUAsup_12_2_2_93,"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product"
12.3.1 (a) Food loss index and (b) food waste index,12_3_1_a,Food loss index,SUAsup_12_3_1_a_94,food loss index
12.3.1 (a) Food loss index and (b) food waste index,12_3_1_b,food waste index,SUAsup_12_3_1_b_95,food waste index
"12.4.2 (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",12_4_2_a,Hazardous waste generated per capita,SUAsup_12_4_2_a_96,hazardous waste generated per capita
"12.4.2 (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",12_4_2_b,"proportion of hazardous waste treated, by type of treatment",SUAsup_12_4_2_b_97,"proportion of hazardous waste treated, by type of treatment"
"12.5.1 National recycling rate, tons of material recycled",12_5_1,"National recycling rate, tons of material recycled",SUAsup_12_5_1_98,"national recycling rate, tons of material recycled"
12.6.1 Number of companies publishing sustainability reports,12_6_1,Number of companies publishing sustainability reports,SUAsup_12_6_1_99,number of companies publishing sustainability reports
12.7.1 Degree of sustainable public procurement policies and action plan implementation,12_7_1,Degree of sustainable public procurement policies and action plan implementation,SUAsup_12_7_1_100,degree of sustainable public procurement policies and action plan implementation
12.8.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,12_8_1_a,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,SUAsup_12_8_1_a_101,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies
12.8.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,12_8_1_b,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,SUAsup_12_8_1_b_102,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula
12.8.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,12_8_1_c,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,SUAsup_12_8_1_c_103,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education
12.8.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,12_8_1_d,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,SUAsup_12_8_1_d_104,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment
12.a.1 Installed renewable energy-generating capacity in developing countries (in watts per capita),12_a_1,Installed renewable energy-generating capacity in developing countries (in watts per capita),SUAsup_12_a_1_105,installed renewable energy-generating capacity in developing countries (in watts per capita)
12.b.1 Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,12_b_1,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SUAsup_12_b_1_106,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability
12.c.1 Amount of fossil-fuel subsidies per unit of GDP (production and consumption),12_c_1,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),SUAsup_12_c_1_107,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption)
"13.1.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",13_1_1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",SUAsup_13_1_1_108,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
13.1.2 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,13_1_2,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,SUAsup_13_1_2_109,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 2015-2030
13.1.3 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,13_1_3,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,SUAsup_13_1_3_110,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"13.2.1 Number of countries with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",13_2_1,"Number of countries with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",SUAsup_13_2_1_111,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
13.2.2 Total greenhouse gas emissions per year,13_2_2,Total greenhouse gas emissions per year,SUAsup_13_2_2_112,total greenhouse gas emissions per year
13.3.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,13_3_1_a,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,SUAsup_13_3_1_a_113,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies
13.3.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,13_3_1_b,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,SUAsup_13_3_1_b_114,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula
13.3.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,13_3_1_c,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,SUAsup_13_3_1_c_115,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education
13.3.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,13_3_1_d,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,SUAsup_13_3_1_d_116,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment
