indicators,indic_id,indicators_harmonized
"2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",SUA_sm_13,"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale"
2.2.1 Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age,SUA_sm_14,prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age
"2.2.2 Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)",SUA_sm_15,"prevalence of malnutrition (weight for height >+<-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)"
"2.2.3 Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SUA_sm_16,"prevalence of anaemia in women aged 49 years, by pregnancy status (percentage)"
2.3.1 Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,SUA_sm_17,volume of production per labour unit by classes of farming/pastoral/forestry enterprise size
"2.3.2 Average income of small-scale food producers, by sex and indigenous status",SUA_sm_18,"average income of small-scale food producers, by sex and indigenous status"
2.4.1 Proportion of agricultural area under productive and sustainable agriculture,SUA_sm_19,proportion of agricultural area under productive and sustainable agriculture
2.5.1 Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,SUA_sm_20,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
2.5.2 Proportion of local breeds classified as being at risk of extinction,SUA_sm_21,proportion of local breeds classified as being at risk of extinction
2.a.1 The agriculture orientation index for government expenditures,SUA_sm_22,agriculture orientation index for government expenditures
2.a.2 Total official flows (official development assistance plus other official flows) to the agriculture sector,SUA_sm_23,total official flows (official development assistance plus other official flows) to the agriculture sector
2.b.1 Agricultural export subsidies,SUA_sm_24,agricultural export subsidies
2.c.1 Indicator of food price anomalies,SUA_sm_25,indicator of food price anomalies
"5.a.1 (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",SUA_sm_26,"proportion of total agricultural population with ownership or secure rights over agricultural land, by sex and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
5.a.2 Proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,SUA_sm_27,proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control
5.c.1 Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,SUA_sm_28,proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
6.1.1 Proportion of population using safely managed drinking water services,SUA_sm_29,proportion of population using safely managed drinking water services
6.3.2 Proportion of bodies of water with good ambient water quality,SUA_sm_30,proportion of bodies of water with good ambient water quality
6.4.1 Change in water-use efficiency over time,SUA_sm_31,change in water-use efficiency over time
6.4.2 Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,SUA_sm_32,level of water stress (freshwater withdrawal as a proportion of available freshwater resources)
6.5.1 Degree of integrated water resources management,SUA_sm_33,degree of integrated water resources management
6.5.2 Proportion of transboundary basin area with an operational arrangement for water cooperation,SUA_sm_34,proportion of transboundary basin area with an operational arrangement for water cooperation
6.6.1 Change in the extent of water-related ecosystems over time,SUA_sm_35,change in the extent of water-related ecosystems over time
6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,SUA_sm_36,amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan
6.b.1 Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,SUA_sm_37,proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
7.1.2 Proportion of population with primary reliance on clean fuels and technology,SUA_sm_38,proportion of population with primary reliance on clean fuels and technology
7.2.1 Renewable energy share in the total final energy consumption,SUA_sm_39,renewable energy share in the total final energy consumption
7.3.1 Energy intensity measured in terms of primary energy and GDP,SUA_sm_40,energy intensity measured in terms of primary energy and gross domestic product
"7.a.1 International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SUA_sm_41,"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems"
7.b.1 Installed renewable energy-generating capacity in developing countries (in watts per capita),SUA_sm_42,installed renewable energy-generating capacity in developing countries (in watts per capita)
8.1.1 Annual growth rate of real GDP per capita,SUA_sm_43,annual growth rate of real gross domestic product
8.2.1 Annual growth rate of real GDP per employed person,SUA_sm_44,annual growth rate of real gross domestic product per employed person
"8.3.1 Proportion of informal employment in total employment, by sector and sex",SUA_sm_45,"proportion of informal employment in total employment, by sector and sex"
"8.4.1 Material footprint, material footprint per capita, and material footprint per GDP",SUA_sm_46,"material footprint, material footprint per capita, and material footprint per gross domestic product"
"8.4.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",SUA_sm_47,"domestic material consumption, domestic material consumption per capita, and domestic material consumption per gross domestic product"
"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities",SUA_sm_48,"average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"8.5.2 Unemployment rate, by sex, age and persons with disabilities",SUA_sm_49,"unemployment rate, by sex, age and persons with disabilities"
"8.6.1 Proportion of youth (aged 15–24 years) not in education, employment or training",SUA_sm_50,"proportion of youth (aged 15-24 years) not in education, employment or training"
"8.7.1 Proportion and number of children aged 5–17 years engaged in child labour, by sex and age",SUA_sm_51,"proportion and number of children aged 5-17 years engaged in child labour, by sex and age"
"8.8.1 Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SUA_sm_52,"fatal and non-fatal occupational injuries per 1workers, by sex and migrant status"
"8.8.2 Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status",SUA_sm_53,"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status"
8.9.1 Tourism direct GDP as a proportion of total GDP and in growth rate,SUA_sm_54,tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate
8.10.2 Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,SUA_sm_55,proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
8.a.1 Aid for Trade commitments and disbursements,SUA_sm_56,aid for trade commitments and disbursements
"8.b.1 Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",SUA_sm_57,"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
9.1.1 Proportion of the rural population who live within 2 km of an all-season road,SUA_sm_58,proportion of the rural population who live within 2 km of an all-season road
"9.1.2 Passenger and freight volumes, by mode of transport",SUA_sm_59,"passenger and freight volumes, by mode of transport"
9.2.1 Manufacturing value added as a proportion of GDP and per capita,SUA_sm_60,manufacturing value added as a proportion of gross domestic product and per capita
9.2.2 Manufacturing employment as a proportion of total employment,SUA_sm_61,manufacturing employment as a proportion of total employment
9.3.1 Proportion of small-scale industries in total industry value added,SUA_sm_62,proportion of small-scale industries in total industry value added
9.3.2 Proportion of small-scale industries with a loan or line of credit,SUA_sm_63,proportion of small-scale industries with a loan or line of credit
9.4.1 CO2 emission per unit of value added,SUA_sm_64,co2 emission per unit of value added
9.5.1 Research and development expenditure as a proportion of GDP,SUA_sm_65,research and development expenditure as a proportion of gross domestic product
9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure,SUA_sm_66,total official international support (official development assistance plus other official flows) to infrastructure
9.b.1 Proportion of medium and high-tech industry value added in total value added,SUA_sm_67,proportion of medium and high-tech industry value added in total value added
"9.c.1 Proportion of population covered by a mobile network, by technology",SUA_sm_68,"proportion of population covered by a mobile network, by technology"
10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,SUA_sm_69,growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population
"10.2.1 Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",SUA_sm_70,"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
10.3.1 Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,SUA_sm_71,proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
10.4.1 Labour share of GDP,SUA_sm_72,labour share of gross domestic product
10.6.1 Proportion of members and voting rights of developing countries in international organizations,SUA_sm_73,proportion of members and voting rights of developing countries in international organizations
"10.7.2 Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",SUA_sm_74,"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
10.7.3 Number of people who died or disappeared in the process of migration towards an international destinationi,SUA_sm_75,number of people who died or disappeared in the process of migration towards an international destinationi
"10.7.4 Proportion of the population who are refugees, by country of origin",SUA_sm_76,"proportion of the population who are refugees, by country of origin"
"10.b.1 Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",SUA_sm_77,"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
11.3.1 Ratio of land consumption rate to population growth rate,SUA_sm_78,ratio of land consumption rate to population growth rate
"11.4.1 Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",SUA_sm_79,"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)"
"11.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",SUA_sm_80,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
"11.5.2 Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",SUA_sm_81,"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters"
11.6.2 Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),SUA_sm_82,annual mean levels of fine particulate matter in cities
"11.7.2 Proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",SUA_sm_83,"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months"
11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space,SUA_sm_84,number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space
11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,SUA_sm_85,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 20
11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,SUA_sm_86,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"12.1.1 Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",SUA_sm_87,"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production"
"12.2.1 Material footprint, material footprint per capita, and material footprint per GDP",SUA_sm_88,"material footprint, material footprint per capita, and material footprint per gross domestic product"
"12.2.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",SUA_sm_89,"domestic material consumption, domestic material consumption per capita, and domestic material consumption per gross domestic product"
12.3.1 (a) Food loss index and (b) food waste index,SUA_sm_90,food loss index and (b) food waste index
"12.4.2 (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",SUA_sm_91,"hazardous waste generated per capita and (b) proportion of hazardous waste treated, by type of treatment"
"12.5.1 National recycling rate, tons of material recycled",SUA_sm_92,"national recycling rate, tons of material recycled"
12.6.1 Number of companies publishing sustainability reports,SUA_sm_93,number of companies publishing sustainability reports
12.7.1 Degree of sustainable public procurement policies and action plan implementation,SUA_sm_94,degree of sustainable public procurement policies and action plan implementation
12.8.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,SUA_sm_95,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
12.a.1 Installed renewable energy-generating capacity in developing countries (in watts per capita),SUA_sm_96,installed renewable energy-generating capacity in developing countries (in watts per capita)
12.b.1 Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SUA_sm_97,implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability
12.c.1 Amount of fossil-fuel subsidies per unit of GDP (production and consumption),SUA_sm_98,amount of fossil-fuel subsidies per unit of gross domestic product (production and consumption)
"13.1.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",SUA_sm_99,"number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
13.1.2 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030,SUA_sm_100,number of countries that adopt and implement national disaster risk reduction strategies in line with the sendai framework for disaster risk reduction 20
13.1.3 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,SUA_sm_101,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"13.2.1 Number of countries with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",SUA_sm_102,"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
13.2.2 Total greenhouse gas emissions per year,SUA_sm_103,total greenhouse gas emissions per year
13.3.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,SUA_sm_104,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
13.a.1 Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,SUA_sm_105,amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025
"13.b.1 Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",SUA_sm_106,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
14.1.1 (a) Index of coastal eutrophication; and (b) plastic debris density,SUA_sm_107,index of coastal eutrophication potential (icep) and (b) plastic debris density
14.2.1 Number of countries using ecosystem-based approaches to managing marine areas,SUA_sm_108,number of countries using ecosystem-based approaches to managing marine areas
14.3.1 Average marine acidity (pH) measured at agreed suite of representative sampling stations,SUA_sm_109,average marine acidity (ph) measured at agreed suite of representative sampling stations
14.4.1 Proportion of fish stocks within biologically sustainable levels,SUA_sm_110,proportion of fish stocks within biologically sustainable levels
14.5.1 Coverage of protected areas in relation to marine areas,SUA_sm_111,coverage of protected areas in relation to marine areas
"14.6.1 Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",SUA_sm_112,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
"14.7.1 Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries",SUA_sm_113,"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries"
14.a.1 Proportion of total research budget allocated to research in the field of marine technology,SUA_sm_114,proportion of total research budget allocated to research in the field of marine technology
14.b.1 Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,SUA_sm_115,degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries
"14.c.1 Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the United Nations Convention on the Law of the Sea, for the conservation and sustainable use of the oceans and their resources",SUA_sm_116,"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources"
15.1.1 Forest area as a proportion of total land area,SUA_sm_117,forest area as a percentage of total land area
"15.1.2 Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",SUA_sm_118,"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
15.2.1 Progress towards sustainable forest management,SUA_sm_119,progress towards sustainable forest management
15.3.1 Proportion of land that is degraded over total land area,SUA_sm_120,proportion of land that is degraded over total land area
15.4.1 Coverage by protected areas of important sites for mountain biodiversity,SUA_sm_121,coverage by protected areas of important sites for mountain biodiversity
15.4.2 Mountain Green Cover Index,SUA_sm_122,mountain green cover index
15.5.1 Red List Index,SUA_sm_123,red list index
"15.6.1 Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",SUA_sm_124,"number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
15.7.1 Proportion of traded wildlife that was poached or illicitly trafficked,SUA_sm_125,proportion of traded wildlife that was poached or illicitly trafficked
15.8.1 Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SUA_sm_126,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
"15.9.1 (a) Number of countries that have established national targets in accordance with or similar to Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011–2020 in their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",SUA_sm_127,"number of countries that have established national targets in accordance with or similar to aichi biodiversity target the strategic plan for biodiversity their national biodiversity strategy and action plans and the progress reported towards these targets; and (b) integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting"
15.a.1 (a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,SUA_sm_128,official development assistance on conservation and sustainable use of biodiversity and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments
15.b.1 (a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,SUA_sm_129,official development assistance on conservation and sustainable use of biodiversity and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments
15.c.1 Proportion of traded wildlife that was poached or illicitly trafficked,SUA_sm_130,proportion of traded wildlife that was poached or illicitly trafficked
"17.1.1 Total government revenue as a proportion of GDP, by source",SUA_sm_131,"total government revenue as a proportion of gross domestic product, by source"
17.1.2 Proportion of domestic budget funded by domestic taxes,SUA_sm_132,proportion of domestic budget funded by domestic taxes
"17.2.1 Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors’ gross national income (GNI)",SUA_sm_133,"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)"
"17.3.1 Foreign direct investment, official development assistance and South-South cooperation as a proportion of gross national income",SUA_sm_134,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget"
17.3.2 Volume of remittances (in United States dollars) as a proportion of total GDP,SUA_sm_135,volume of remittances (in united states dollars) as a proportion of total gross domestic product
"17.5.1 Number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",SUA_sm_136,"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries"
"17.7.1 Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",SUA_sm_137,"total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
17.8.1 Proportion of individuals using the Internet,SUA_sm_138,proportion of individuals using the internet
"17.9.1 Dollar value of financial and technical assistance (including through North-South, South‑South and triangular cooperation) committed to developing countries",SUA_sm_139,"dollar value of financial and technical assistance (including through north-south, south‑south and triangular cooperation) committed to developing countries"
17.10.1 Worldwide weighted tariff-average,SUA_sm_140,worldwide weighted tariff-average
17.11.1 Developing countries’ and least developed countries’ share of global exports,SUA_sm_141,developing countries’ and least developed countries’ share of global exports
"17.12.1 Weighted average tariffs faced by developing countries, least developed countries and small island developing States",SUA_sm_142,"weighted average tariffs faced by developing countries, least developed countries and small island developing states"
17.14.1 Number of countries with mechanisms in place to enhance policy coherence of sustainable development,SUA_sm_143,number of countries with mechanisms in place to enhance policy coherence of sustainable development
17.15.1 Extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SUA_sm_144,extent of use of country-owned results frameworks and planning tools by providers of development cooperation
17.16.1 Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals,SUA_sm_145,number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals
17.17.1 Amount in United States dollars committed to public-private partnerships for infrastructure,SUA_sm_146,amount in united states dollars committed to public-private partnerships for infrastructure
17.18.1 Statistical capacity indicator for Sustainable Development Goal monitoring,SUA_sm_147,statistical capacity indicator for sustainable development goal monitoring
17.18.2 Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics,SUA_sm_148,number of countries that have national statistical legislation that complies with the fundamental principles of official statistics
"17.18.3 Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding",SUA_sm_149,"number of countries with a national statistical plan that is fully funded and under implementation, by source of funding"
17.19.1 Dollar value of all resources made available to strengthen statistical capacity in developing countries,SUA_sm_150,dollar value of all resources made available to strengthen statistical capacity in developing countries
